#ID;wigosIdentifier;Kennung;Stationsname;Geraetetyp;Messnetz;von_Datum;Geog_Breite;Geog_Laenge;Stationshoehe;pressureLevel;pressureRefLevel;barometerLevel;barometerHeight;airtemp200Height;airtemp005Height;humidityHeight;watertempHeight;rainHeight;visibilityHeight;snowHeight;windHeight;sunHeight;radiationHeight;hasPyrano;cloudHeight
6163;0-20000-0-10150;10150;Dörnick;AMDA II;15,320;06.09.1999;54.165444;10.351887;27.03;27.58;;27.58;0.55;2;0.05;2;;1;2.5;2.3;10;;6;0;1.55
3897;0-20000-0-10152;10152;Pelzerhaken;AMDA II;15,320;01.03.1934;54.08933;10.877341;2.18;3.61;;3.61;1.43;2;0.05;2;;1;2.5;2;15;;;0;1.55
3086;0-20000-0-10156;10156;Lübeck-Blankensee;AMDA II;15,16,320;01.08.1938;53.802512;10.698941;14.74;15.97;;15.97;1.23;2;0.05;2;;1;2.5;2.3;10;;;0;1.55
596;0-20000-0-10161;10161;Boltenhagen;AMDA II;15,320;01.01.1888;54.002724;11.19082;15.0;14.97;;14.97;;2;0.05;2;;1;2.5;2.3;18;;6;0;1.55
4625;0-20000-0-10162;10162;Schwerin;AMDA II;15,16,320,526;01.02.1849;53.642425;11.387095;58.79;58.92;;58.92;0.13;2;0.05;2;;1;2.5;2.3;15;;;0;1.55
1694;0-20000-0-10168;10168;Goldberg;AMDA II;15,16,320;01.01.1888;53.605834;12.103404;58.65;59.9;;59.9;1.25;2;0.05;2;;1;2.5;2.3;12;;;0;1.55
4271;0-20000-0-10170;10170;Rostock-Warnemünde;AMDA II;15,16,320,526;01.01.1901;54.180279;12.080806;4.78;12.28;;12.28;7.5;2;0.05;2;;1;2.5;2.3;22;;17.4;657;1.55
2796;0-20000-0-10172;10172;Laage-Kronskamp;MEA Fachsystem;15;01.12.1984;53.915595;12.279013;40.25;59;;59;18.75;2;0.05;2;;1;2.5;;;;2;0;1.55
298;0-20000-0-10180;10180;Barth;AMDA II;15,16,320;01.01.1937;54.340527;12.710848;2.67;3.46;;3.46;0.79;2;0.05;2;;1;2.5;2.3;10;;;0;1.55
1757;0-20000-0-10184;10184;Greifswald;AMDA II;15,16,320,526;01.01.1898;54.096704;13.405565;2.0;6.5;;6.5;4.5;2;0.05;2;;1;2.5;2.3;12;;;0;1.55
5142;0-20000-0-10193;10193;Ueckermünde;AMDA II;15,16,320;01.06.1890;53.744455;14.069809;1.06;1.78;;1.78;0.72;2;0.05;2;;1;2.5;2.3;12;;4.7;657;1.55
5839;0-20000-0-10200;10200;Emden;AMDA II;15,320;01.07.1990;53.388122;7.228716;-0.27;-1.6;;-1.6;;2;0.05;2;;1;2.5;2;;;;0;1.55
1503;0-20000-0-10210;10210;Friesoythe-Altenoythe;AMDA II;15,16,320;01.03.1927;53.064301;7.901969;5.73;6.76;;6.76;1.03;2;0.05;2;;1;2.5;2;10;;6;0;1.55
691;0-20000-0-10224;10224;Bremen;AMDA II;15,16,320,526;01.01.1796;53.04507;8.798084;4.04;5.35;;5.35;1.31;2;0.05;2;;1;2.5;1.8;10;;4.1;657;1.55
4745;0-20000-0-10235;10235;Soltau;AMDA II;15,16,320;01.09.1925;52.960408;9.793049;75.37;76.45;;76.45;1.08;2;0.05;2;;1;2.5;2;10;;6;0;1.55
368;0-20000-0-10238;10238;Bergen;MEA Fachsystem;15;03.03.1960;52.815233;9.924809;68.46;77.42;;77.42;8.96;2;0.05;2;;;2.5;;;;;0;
1339;0-20000-0-10246;10246;Faßberg;MEA Fachsystem;15;01.11.1958;52.915651;10.188503;74.07;87.26;;;;2;0.05;2;;;2.15;;;;;0;
591;0-20000-0-10249;10249;Boizenburg;AMDA II;15,16,320;01.06.1888;53.391093;10.68781;44.72;45.75;;45.75;1.03;2;0.05;2;;1;2.5;2.3;15;;5.7;0;1.55
3093;0-20000-0-10253;10253;Lüchow;AMDA II;15,16,320,526;01.04.1906;52.972379;11.137371;16.21;17.73;;17.73;1.52;2;0.05;2;;1;2.5;2;10;;;0;1.55
4642;0-20000-0-10261;10261;Seehausen;AMDA II;15,16,320;01.05.1882;52.891079;11.729661;21.55;23.2;;23.2;1.65;2;0.05;2;;1;2.5;2.3;15;;4.85;657;1.55
3196;0-20000-0-10264;10264;Marnitz;AMDA II;15,16,320;01.12.1864;53.32209;11.932382;80.53;81.18;;81.18;0.65;2;0.05;2;;1;2.5;2.3;15;;;0;1.55
